No.;name;comment;price;sizes;availability;expiry;Visibility;Revise;category;image
#54870;ES1026A-OXI,AMETHYST;Oval Oxidiert;5,00€;Höhe: ca.17mm;SALE;;visible;;303;/54870
#54867;ES1025-OXI,HOWLITH;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54867
#54866;ES1020-WHP;Muschelkernperle Runde (set);6,50€;Ø: ca.10mm;BACK IN;;visible;;317;/54866
#54863;EP1505A-SEESTERN;Kleiner Weißer Seestern mit Silber Kügelchen, Ohrstecker (Set);10,50€;Höhe: ca.16mm;;;visible;;323;/54863
#54862;PP1887;3 Hängende Blätter, Anhänger (Set);5,75€;Höhe: ca.26mm;;;visible;;#NV;/54862
#54852;EP1982ST;Traumfänger, Ohrhänger (Set);9,25€;Ø: 19mm, Höhe: ca.30mm;;;visible;;389;/54852
#54851;EP1979ST;Traumfänger, Ohrhänger (Set);8,25€;Ø: 15mm, Höhe: ca.30mm;;;visible;;389;/54851
#54850;EP1968ST;;9,00€;Höhe: ca.43mm;;;visible;;#NV;/54850
#54846;EP1960ST;;9,75€;Höhe: ca.42mm;;;visible;;#NV;/54846
#54845;EP1959ST-SP,GP,PKGP;;10,50€;Höhe: ca.25mm;;;visible;;#NV;/54845
#54844;EP1959ST;;9,50€;Höhe: ca.25mm;;;visible;;#NV;/54844
#54843;EP1954ST-G,M;Herz;8,00€;Höhe: ca.29mm;;;visible;;228;/54843
#54842;EP1950ST;;6,50€;Höhe: ca.19mm;;;visible;;#NV;/54842
#54835;PS1239ST-OXI,ONYX;Traumfänger, oxidiert mit einem Onyx;5,00€;Ø: 20mm;;;visible;;#NV;/54835
#54834;PS1237-WHP;Rundum Kügelchen, Perle in der Mitte, Anhänger;10,50€;Ø: 15mm;;;visible;;#NV;/54834
#54832;PS1235A-WH;Anhänger 3 gedrehte Ringe mit Zirkonia;12,50€;Ø: ca.26mm;;;visible;;#NV;/54832
#54831;PS1182-ABL;ABL Blume, Anhänger mit Schlaufe;13,50€;Höhe: ca.25mm;;;visible;;#NV;/54831
#54827;PP2640-GP;Offener Flügel, Goldplattiert, Anhänger (Sale);12,00€;Höhe: ca.46mm;SALE;;visible;;1,321;/54827
#54824;PP2715-G;Seestern, Glanz, Anhänger (Sale);3,00€;20x20mm;SALE;;visible;;323;/54824
#54822;PP2700ST;Traumfänger, Anhänger mit Schlaufe (Set);5,25€;Ø: ca.20mm;;;visible;;389;/54822
#54814;PP2556;Anker;13,00€;Höhe: ca.33mm;;;visible;;323;/54814
#54811;PP2414-OXI;Harley Davidson Motorrad;21,50€;20x42mm;;;visible;;237;/54811
#54810;PP2345-FATIMAHAND;Fatima Hand mit Ringöse;8,00€;Höhe: ca.23mm;;;visible;;316,321;/54810
#54809;PP1578-OXI;Kreuz;10,50€;Höhe: ca.23mm;;;visible;;321;/54809
#54808;PP1273-OXI;Motorrad;11,00€;23x30mm;;;visible;;237;/54808
#54807;PP1259-OXI;Motorrad;12,50€;24x26mm;;;visible;;237;/54807
#54802;PS1222-OXI,UNAKIT;Unakit Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54802
#54801;PS1222-OXI-TUERKIS;Türkis Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54801
#54800;PS1222-OXI-TIGERAUGE;Tigerauge Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54800
#54799;PS1222-OXI-TIGERAUGE,ROT;Tigerauge-Rot Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54799
#54798;PS1222-OXI-ROSENQUARZ;Rosenquarz Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54798
#54796;PS1222-OXI-LAPIS;Lapis Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54796
#54795;PS1222-OXI,LABRADORIT;Labradorit Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54795
#54794;PS1222-OXI-JASPER,GRAU;Jaspergrau Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54794
#54792;PS1222-OXI,JADE,GELB;Jadegelb Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54792
#54791;PS1222-OXI,GOLDFLUSS;Goldfluss Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54791
#54790;PS1222-OXI-AMETHYST;Amethyst Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54790
#54789;PS1222-OXI-AMAZONIT;Amazonit Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54789
#54788;PS1222-OXI-AACHAT;Aachat Stein Anhänger, umrandet von Kügelchen, Oxidiert (Sale);6,00€;Höhe: ca.29mm;SALE;;visible;;1;/54788
#54782;PP2611-GP;Goldplattierte Gravurplatte mit 2 Löchern zum Fädeln;8,00€;Ø: ca.11mm;;;visible;;189,316;/54782
#54779;KR02;Klickverschluss zum Öffnen;3,25€;Höhe: 14mm;;;visible;;189;/54779
#54778;HERZ-PLATTE-LB;Herzplatte, Hellblau (Sale);0,20€;Höhe: ca. 19mm;SALE;;visible;;303,335;/54778
#54777;HERZ-PLATTE-TUERKIS;Herzplatte, Türkis (Sale);0,20€;Höhe: ca. 19mm;SALE;;visible;;303,335;/54777
#54775;RS895-WHP;Perle umrandet von Kügelchen, Kugel Bandring;11,00€;Gr. 52, 56, 58, 60, 62, 64;;;visible;;317;/54775
#54773;RS894-WH;Ring zweireihig, doppelreihig, mit Zirkonia;12,50€;50,52,54,56,58,60,62,64;;;visible;;#NV;/54773
#54767;RS886-WH;Unendlichkeitszeichen, Infinity Ring mit Zirkonia (Sale);6,50€;Gr. 50, 52;SALE;;visible;;#NV;/54767
#54766;RS881-GEB,WH;Offener Ring mit Stein, gebürstet;24,75€;Gr. 52,54,56,62;;;visible;;#NV;/54766
#54758;RP1187;Spirale;9,00€;52,54,56,58,60,62,64;;;visible;;#NV;/54758
#54743;PP1030;Woflskopf;26,50€;ca.37x27mm;;;visible;;237;/54743
#54742;PP2660;Mandala/Blume im Seilkreis, Anhänger mit Schlaufe (Sale);8,00€;Ø: 27mm;SALE;;visible;;329;/54742
#54740;PP2656-OXI;Anker mit Seil und Ringöse, Oxidiert;5,50€;Höhe: ca.13mm;;;visible;;#NV;/54740
#54737;PP2651;Palme mit Schlaufe;3,75€;Höhe: ca.13mm;;;visible;;217;/54737
#54736;PP2649;Flamingo mit Ringöse;3,50€;Höhe: ca.19mm;;;visible;;217;/54736
#54735;PP2646-OXI;Blatt mit Ringöse, Oxidiert;3,50€;Höhe: ca.21mm;;;visible;;189;/54735
#54734;PP2646;Blatt mit Ringöse;3,50€;Höhe: ca.21mm;;;visible;;189;/54734
#54732;PP2644-M,G;Kreuz matt,glanz;8,50€;Höhe: ca.22mm;;;visible;;321;/54732
#54731;PP2644-G,OXI;Kreuz glanz,oxidiert;8,50€;Höhe: ca.22mm;;;visible;;321;/54731
#54723;PP2629-M;Blume/Mandala, Matt, Anhänger mit Ringöse (Set);6,00€;ca. 19x19mm;;;visible;;329,367;/54723
#54722;PP2629-G;Blume/Mandala, Glanz, Anhänger mit Ringöse (Set);6,00€;ca. 19x19mm;;;visible;;329,367;/54722
#54720;PP2621;Palme mit Ringöse;3,50€;Höhe: ca.13mm;;;visible;;217;/54720
#54719;PP2620;Maria & Jesus, Ringöse;9,50€;Ø: 23mm;;;visible;;321;/54719
#54718;PP2618A;Kreuz;4,00€;Höhe: ca.11mm;;;visible;;321;/54718
#54715;PP2615;Anker;9,50€;Ø: ca.19mm;;;visible;;323;/54715
#54714;PP2614-OXI;Christopherrus,oxidiert;7,75€;Ø: 17mm;;;visible;;321;/54714
#54708;PP2602;Blume des Lebens, Anhänger mit Ringöse (Set);4,75€;Ø: 13mm;;;visible;;329;/54708
#54702;PP2565-M;Große gewellte Platte, Matt, Anhänger (Set);19,50€;Ø: 30mm;;;visible;;382;/54702
#54701;PP2558;Anker;14,00€;Höhe: ca.32mm;;;visible;;#NV;/54701
#54700;PP2541B-M;Seestern mit Ringöse, Matt, Anhänger (Set);5,50€;Höhe: ca.13mm;;;visible;;#NV;/54700
#54699;PP2541A-M;Seestern mit Schlaufe, Matt, Anhänger (Set);5,50€;Höhe: ca.13mm;;;visible;;#NV;/54699
#54697;PP2415A;Anker;7,25€;Höhe: ca.24mm;;;visible;;323;/54697
#54696;PP2398A;Ahornblatt;6,00€;Höhe: ca.19mm;;;visible;;#NV;/54696
#54695;PP2385;Kreuz,Ringöse;10,75€;Höhe: ca.33mm;;;visible;;316,321;/54695
#54694;PP2356-M;Runde Platte, Matt, Anhänger (Set);8,50€;Ø: 21mm;;;visible;;#NV;/54694
#54687;PP1626-SP-M-GP;Rechteck mit goldplattierte Spirale unten, Matt/Glanz, Anhänger (Set);13,25€;Höhe: ca.20mm;;;visible;;373;/54687
#54683;KLICK SET PP2242-UNAKIT;;8,50€;Ø: 30mm, oval Klickverschluss;SALE;;visible;;313;/54683
#54682;KLICK SET PP2242-TIGERAUGE;;8,50€;Ø: 30mm, oval Klickverschluss;SALE;;visible;;313;/54682
#54681;KLICK SET PP2242-ROTTIGERAUGE;;8,50€;Ø: 30mm, oval Klickverschluss;SALE;;visible;;313;/54681
#54680;KLICK SET PP2242-RHODONIT;;8,50€;Ø: 30mm, oval Klickverschluss;SALE;;visible;;313;/54680
#54676;KLICK SET PP2242-GOLDFLUSS;;8,50€;Ø: 30mm, oval Klickverschluss;SALE;;visible;;313;/54676
#54675;KLICK SET PP2242-AVENTURIN,GELB;;8,50€;Ø: 30mm, oval Klickverschluss;SALE;;visible;;313;/54675
#54647;PP2719;Anker im Seilkreis ohne Öse;3,00€;Ø: 10mm;;;visible;;189;/54647
#54646;PP2697;Infinity ohne Öse;2,00€;6x9mm;;;visible;;189;/54646
#54644;PP2682;Blume des Lebens mit zwei kleine Ösen zum Fädeln;5,50€;Ø: 16mm;;;visible;;189;/54644
#54643;PP2697-GP;Infinity ohne Öse, Goldplattiert;3,50€;6x9mm;;;visible;;189;/54643
#54642;PP2626-GP;Anker mit zwei kleinen Ösen zum Fädeln, Goldplattiert, Beads;4,50€;ca. 9mm;;;visible;;189;/54642
#54640;PP2589-GP;Blume des Lebens mit zwei kleinen Ösen, Goldplattiert, Beads;5,50€;Ø: 14mm;;;visible;;189;/54640
#54638;PP2587-GP;Blume mit zwei kleinen Ösen, Goldplattiert;4,00€;ca. 14mm;;;visible;;189;/54638
#54636;PP2418-GP;Blume mit zwei kleinen Ösen zum Fädeln, Goldplattiert;4,50€;Ø: ca.10mm;;;visible;;189;/54636
#54612;KLICK SET PP2159-JADE;Jade Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54612
#54611;KLICK SET PP2243-UNAKIT;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54611
#54610;KLICK SET PP2243-TIGERAUGE;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54610
#54609;KLICK SET PP2243-ROTTIGERAUGE;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54609
#54608;KLICK SET PP2243-ROSENQUARZ;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54608
#54607;KLICK SET PP2243-RHODONIT;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54607
#54605;KLICK SET PP2243-MALACHIT;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54605
#54604;KLICK SET PP2243-JASPER,GRAU;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54604
#54603;KLICK SET PP2243-JADE;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54603
#54602;KLICK SET PP2243-GOLDFLUSS;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54602
#54601;KLICK SET PP2243-BLAUFLUSS;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54601
#54600;KLICK SET PP2243-AVENTURIN,GELB;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54600
#54599;KLICK SET PP2243-AMETHYST;Steinplatte mit Anhänger;9,75€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54599
#54555;EP1327-GEB;Rechteck mit Spirale unten, Gebürstet/Glanz, Ohrstecker (Set);11,50€;Höhe: ca. 17mm;;;visible;;319,373;/54555
#54550;ES1027-OXI,UNAKIT;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54550
#54548;ES1027-OXI,TIGERAUGE;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54548
#54547;ES1027-OXI,ROSENQUARZ;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54547
#54546;ES1027-OXI,RHODONIT;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54546
#54544;ES1027-OXI,JASPERGRAU;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54544
#54543;ES1027-OXI,JADEGELB;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54543
#54541;ES1027-OXI,HOWLITH;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54541
#54540;ES1027-OXI,HAEMATIT;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54540
#54539;ES1027-OXI,GOLDFLUSS;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54539
#54538;ES1027-OXI,BLAUFLUSS;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54538
#54537;ES1027-OXI,AVENTURINGELB;;7,00€;Höhe: ca.25mm;SALE;;visible;;228,303;/54537
#54531;ES1025-OXI,TIGERAUGE;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54531
#54529;ES1025-OXI,RHODONIT;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54529
#54525;ES1025-OXI,JASPERGRAU;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54525
#54524;ES1025-OXI,JADEGELB;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54524
#54522;ES1025-OXI,HAEMATIT;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54522
#54521;ES1025-OXI,GOLDFLUSS;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54521
#54520;ES1025-OXI,BLAUFLUSS;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54520
#54519;ES1025-OXI,AVENTURINGELB;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54519
#54518;ES1025-OXI,AMETHYST;Oval Oxidiert;6,00€;Höhe: ca.23mm;SALE;;visible;;303;/54518
#54513;EP1958ST;;9,50€;Ø: 27mm;;;visible;;228;/54513
#54508;ES1037-WH;Ohrstecker 3 Kreise Zusammen;9,00€;Ø: ca.11mm;;;visible;;#NV;/54508
#54507;ES1035-WH;X Design mit Stein;8,00€;Höhe: ca.10mm;;;visible;;#NV;/54507
#54505;ES1032-WH;Ohrstecker mit Zirkonia;6,00€;Höhe: ca.11mm;;;visible;;228;/54505
#54504;ES1031-WH;Ohrstecker X Design mit Zirkonia;7,50€;Höhe: ca.10mm;;;visible;;#NV;/54504
#54501;EH172-M,G;Klappkreole matt glanz;13,50€;Höhe: ca.15mm;;;visible;;#NV;/54501
#54500;EH171-M;Klappkreole;10,50€;Höhe: ca.19mm;;;visible;;#NV;/54500
#54499;EH171-G;Klappkreole;10,50€;Höhe: ca.19mm;;;visible;;#NV;/54499
#54498;OR9782-C,PKGP;Blume diamentiert;16,50€;60x60mm;;;visible;;303;/54498
#54494;OR838-1;Zweireihe gewölbter Creole;7,50€;Ø: ca.16mm;;;visible;;#NV;/54494
#54493;EPEN007;Marienkäfer, Ohrstecker (Set);6,00€;Höhe: ca.6mm;;;visible;;217,347;/54493
#54492;EP1970ST;Traumfänger, Ohrstecker (Set);6,25€;Höhe: ca.25mm;;;visible;;389;/54492
#54489;EP1961ST;Spirale;6,00€;Ø: ca.28mm;;;visible;;303;/54489
#54487;EP1944-OXI;Spinnennetz, Ohrstecker, Oxi (Sale);4,00€;Ø: ca.10mm;SALE;;visible;;228,303;/54487
#54486;EP1944;Spinnennetz, Ohrstecker (Sale);4,00€;Ø: ca.10mm;SALE;;visible;;228,303;/54486
#54485;EP1943-OXI;Mini Feder oxidiert;4,00€;Höhe: ca.11mm;;;visible;;#NV;/54485
#54484;EP1943;Mini Feder;4,00€;Höhe: ca.11mm;;;visible;;#NV;/54484
#54483;EP1941;;5,50€;Ø: ca.9mm;;;visible;;#NV;/54483
#54482;EP1940-OXI;Feder oxi;5,00€;Höhe: ca.15mm;;;visible;;#NV;/54482
#54481;EP1939;Schneeflocke;4,50€;Ø: ca.8mm;;;visible;;#NV;/54481
#54480;EP1937-OXI;Om im Kreis;3,50€;Ø: ca.8mm;;;visible;;321;/54480
#54479;EP1937;Om im Kreis;3,50€;Ø: ca.8mm;;;visible;;321;/54479
#54478;EP1936-OXI;Thorhammer;3,00€;Höhe: ca.8mm;;;visible;;#NV;/54478
#54477;EP1936;Thorhammer;3,00€;Höhe: ca.8mm;;;visible;;#NV;/54477
#54476;EP1933-OXI;Blatt oxidiert ( Sale);6,00€;Höhe: ca.15mm;SALE;;visible;;#NV;/54476
#54475;EP1932;Schaukelpferd;4,50€;Höhe: ca.7mm;;;visible;;217;/54475
#54474;EP1931;Baum des Lebens;4,25€;Ø: ca.7mm;;;visible;;#NV;/54474
#54473;EP1930-M;Blume/Mandala, Matt, Ohrhänger (Set);8,00€;Ø: ca.19mm;;;visible;;329,367;/54473
#54472;EP1930-G;Blume/Mandala, Glanz, Ohrhänger (Set);8,00€;Ø: ca.19mm;;;visible;;329,367;/54472
#54471;EP1929-G;Hirschkopf;5,25€;Höhe: ca.12mm;;;visible;;314;/54471
#54467;EP1926;Blume im Kreis, Kügelchen in der Mitte, Matt/Glanz, Ohrhänger (Set);11,75€;Ø: ca.23mm;;;visible;;329,367;/54467
#54466;EP1925-M-G;Blume im Kreis, Kügelchen in der Mitte, Matt/Glanz, Ohrstecker (Set);6,00€;Ø: ca.11mm;;;visible;;329,367;/54466
#54465;EP1924-M;Seestern;4,75€;Höhe: ca.7mm;;;visible;;#NV;/54465
#54464;EP1924-G;Seestern;4,75€;Höhe: ca.7mm;;;visible;;#NV;/54464
#54463;EP1923-M;Herz;4,25€;Höhe: ca.5mm;;;visible;;#NV;/54463
#54460;EP1921;Herz Blume;4,00€;Ø: ca.7mm;;;visible;;#NV;/54460
#54456;EP1915-OXI;Blatt, Oxidiert, Ohrstecker (Sale);5,00€;Höhe: ca.14mm;SALE;;visible;;228,303;/54456
#54454;EP1899;X-Design, Glanz, Ohrstecker (Set);5,00€;Höhe: ca.10mm;;;visible;;382;/54454
#54451;EP1893-G,GP;Engel goldplattiert;3,75€;Höhe: ca. 9mm;;;visible;;303,321;/54451
#54449;EP1827ST-GEB;Runde Platte, Gebürstet, Ohrhänger (Set);7,00€;Ø ca.11mm;;;visible;;319;/54449
#54448;EP1812-M;;4,50€;;;;visible;;303,319;/54448
#54447;EP1811-OXI;;5,00€;ca.6x9mm;;;visible;;319;/54447
#54446;EP1811;;5,00€;ca.6x9mm;;;visible;;#NV;/54446
#54445;EP1780;Schmetterling;4,00€;Höhe: ca.6mm;;;visible;;217;/54445
#54444;EP1734-M;Runde Platten, Matt, Ohrstecker (Set);11,25€;Ø: ca. 16mm;;;visible;;319;/54444
#54443;EP1327-SP-M-GP;Rechteck mit goldplattierte Spirale unten, Matt/Glanz, Ohrstecker (Set);13,50€;Höhe: ca.17mm;;;visible;;319,373;/54443
#54364;KLICK SET PP2513-UNAKIT;Unakit Platte,oval Klickverschluss,Ornament Anhänger;8,50€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54364
#54362;KLICK SET PP2513-TIGERAUGE;Tigerauge Platte,oval Klickverschluss,Ornament Anhänger;8,50€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;313;/54362
#54359;KLICK SET PP2513-RHODONIT;Rhodonit Platte,oval Klickverschluss,Ornament Anhänger;8,50€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54359
#54354;KLICK SET PP2513-GOLDFLUSS;Goldfluss Platte,oval Klickverschluss,Ornament Anhänger;8,50€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54354
#54351;KLICK SET PP2513-AMETHYST;Amethyst Platte,oval Klickverschluss,Ornament Anhänger;8,50€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,303,313;/54351
#54319;KLICK SET PP2284-UNAKIT;Unakit Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54319
#54318;KLICK SET PP2284-TIGERAUGE;Tigerauge Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54318
#54317;KLICK SET PP2284-TIGERAUGE,ROT;Tigeraugerot Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54317
#54316;KLICK SET PP2284-ROSENQUARZ;Rosenquarz Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54316
#54315;KLICK SET PP2284-RHODONIT;Rhodonit Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54315
#54314;KLICK SET PP2284-PERLMUTT;Perlmutt Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54314
#54313;KLICK SET PP2284-ONYX;Onyx Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54313
#54312;KLICK SET PP2284-MALACHIT;Malachit Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54312
#54311;KLICK SET PP2284-JASPER,GRAU;Jaspergrau Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54311
#54309;KLICK SET PP2284-GOLDFLUSS;Goldfluss Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54309
#54308;KLICK SET PP2284-BLAUFLUSS;Blaufluss Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54308
#54307;KLICK SET PP2284-AVENTURIN,GELB;Aventuringelb Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54307
#54306;KLICK SET PP2284-AMETHYST;Amethyst Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;313;/54306
#54305;KLICK SET PP2284-ABL,PERLMUTT;Abalone-Perlmutt Platte, oval Klickverschluss, Buddhaknoten Anhänger;5,00€;Ø: 35mm, oval Klickverschluss;SALE;;visible;;303,313;/54305
#54304;KLICK SET PP2159-UNAKIT;Unakit Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54304
#54303;KLICK SET PP2159-TIGERAUGE;Tigerauge Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54303
#54302;KLICK SET PP2159-SET,TUERKIS;Tuerkis Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54302
#54301;KLICK SET PP2159-ROSENQUARZ;Rosenquarz Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54301
#54300;KLICK SET PP2159-RHODONIT;Rhodonit Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54300
#54298;KLICK SET PP2159-MALACHIT;Malachit Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54298
#54297;KLICK SET PP2159-JASPER,GRAU;Jaspergrau Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54297
#54296;KLICK SET PP2159-GOLDFLUSS;Goldfluss Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54296
#54295;KLICK SET PP2159-BLAUFLUSS;Blaufluss Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54295
#54294;KLICK SET PP2159-AVENTURIN,GELB;Aventuringelb Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54294
#54293;KLICK SET PP2159-AMETHYST;Amethyst Platte, oval Klickverschluss, Ornament Anhänger;5,00€;Ø: 40mm, oval Klickverschluss;SALE;;visible;;303,313;/54293
#54256;PS615-WH-GP;Muschel mit Perle, Anhänger, Goldplattiert;21,50€;Ø: ca. 21mm;;;visible;;317;/54256
#54243;BP359;Fatima Hand;8,50€;16,5+3cm;;;visible;;22,27,321,6;/54243
#54241;BP357ST;Kugelarmband mit kleinem Plättchen;17,50€;44 Kugeln à 4mm + 1 Kugel 8mm, elastisch;;;visible;;22,27,6;/54241
#54235;BP319;Oval Gravur Platte;13,50€;16,5+3cm;;;visible;;22,27,316,6;/54235
#54234;BP315;Gravur Armband;15,75€;16,5+3cm;;;visible;;22,27,316,6;/54234
#54231;PP2675;Kleiner Fisch mit fester Öse;3,00€;Höhe: ca.11mm;;;visible;;189,217;/54231
#54230;PP2675-OXI;Kleiner Fisch mit fester Öse, Oxidiert;3,00€;Höhe: ca.11mm;;;visible;;189,217;/54230
#54229;PP2673;Lotus Blume mit fester Öse;3,25€;Höhe: ca.7mm;;;visible;;189;/54229
#54226;PP2658;Engel mit fester Öse;4,75€;Höhe: ca.9mm;;;visible;;189,321;/54226
#54225;PP2654;Schiff im Kreis mit Seilmuster und feste Öse;4,50€;Ø: ca.14mm;;;visible;;189;/54225
#54224;PP2654-OXI;Schiff im Kreis mit Seilmuster und feste Öse, Oxidiert;4,50€;Ø: ca.14mm;;;visible;;189;/54224
