No.;name;comment;price;sizes;availability;expiry;Visibility;Revise;category;image
#61078;ESI-3,MONDSTEIN;Mondsteinstecker oval;6,50€;6x9mm;;;visible;;#NV;/61078
#61077;ESI-5,GRANAT;Granatstecker oval;6,50€;9x6mm;;;visible;;#NV;/61077
#61076;ES1132ST,OPAL;Opalkugel;4,50€;ø3mm;;;visible;;223;/61076
#61075;ES1132ST,BAUER,OPAL;Opalkugel;4,50€;ø3mm;;;visible;;223;/61075
#61074;ES1131ST,OPAL;Opalkugel;4,00€;ø2,5mm;;;visible;;223;/61074
#61073;ES1131ST,BLAUER,OPAL;Opalkugel;4,00€;ø2,5mm;;;visible;;223;/61073
#61072;OR-10082;Kreise;10,50€;ca. 29mm;;;visible;;319;/61072
#61071;EP-2596ST;Kreuz diamantiert;4,50€;ca. 10mm;NEW;2023. 03. 31.;visible;;321;/61071
#61068;EP1792,SP,GP,PKGP;Sterne tricolor;11,00€;;;;visible;;#NV;/61068
#61067;RP1385;Kettenring;8,50€;52,54,56,58,60,62,64;NEW;;visible;;#NV;/61067
#61066;ES1133ST,OPAL;Opalkugel;9,25€;ø5mm;;;visible;;223;/61066
#61065;ES1133ST,BLAUER,OPAL;Opalkugel;9,25€;ø5mm;;;visible;;223;/61065
#61064;OR-10186-ASB;Antique Silver Brushed Spirale;21,50€;ø23mm;;;visible;;#NV;/61064
#61063;EP-2617;Wunderbare See;18,50€;ø21mm;NEW;2023. 03. 31.;visible;;#NV;/61063
#61059;EP-2601;Weisheitszeichen;10,00€;ø24mm;SALE;;visible;;303;/61059
#61056;EP-971.JPEG;Sterncreole massiv;12,50€;ca. 22mm;;;visible;;#NV;/61056
#61055;EP1974-GP.JPEG;Blumenstecker;6,50€;8x8mm;;;visible;;#NV;/61055
#61054;EP-2331,GP.JPEG;Halbcreole mit Stern;8,50€;14 mm;;;visible;;#NV;/61054
#61053;EP-2331.JPEG;Creole mit Stern;7,00€;14 mm;;;visible;;#NV;/61053
#61052;OR-10083.JPEG;Herz und Kugelherz;10,50€;ca.23 mm;;;visible;;#NV;/61052
#61049;EP-2476.JPEG;Nordstern;6,00€;10x12mm;;;visible;;#NV;/61049
#61047;PP3170;Flotter Käfer Lebkuchen mit Schlaufe;12,75€;18x18 mm;;;visible;;314;/61047
#61046;PP3168;Spatzl Lebkuchen mit Schlaufe;12,75€;18x18 mm;;;visible;;314;/61046
#61045;PP3163;Herzerl Lebkuchen mit Schlaufe;12,75€;22 mm;;;visible;;314;/61045
#61044;PPEN040-LB;Engerl Lebkuchen mit Schlaufen;14,50€;18x18 mm;NEW;;visible;;314;/61044
#61043;PPEN041-LB;Spatzl Lebkuchen mit Schlaufe;8,50€;13x13 mm;NEW;;visible;;314;/61043
#61042;PPEN039-LB;Engerl Lebkuchen mit Schlaufe;8,50€;12x12 mm;NEW;;visible;;314;/61042
#61040;PPEN044-R;Flotter Käfer Lebkuchen mit Schlaufe;14,50€;22 mm;NEW;;visible;;314;/61040
#61039;PPEN042-R;Spatzl Lebkuchen mit Schlaufe;14,50€;18x18 mm;NEW;;visible;;314;/61039
